date,time,connection,upload,dayOfWeek
2019-08-13,09:38:47,0.536,526.0871,2
2019-08-13,10:08:03,0.4524,482.3996,2
2019-08-13,10:38:49,0.451,528.3199,2
2019-08-13,11:07:27,0.4836,446.0516,2
2019-08-13,11:38:32,0.4992,510.7293,2
2019-08-13,12:08:46,1.4352,524.6133,2
2019-08-13,12:37:02,0.468,421.3879,2
2019-08-13,13:07:21,0.4992,440.0612,2
2019-08-13,13:37:23,0.4524,441.7928,2
2019-08-13,14:08:18,0.468,496.7673,2
2019-08-13,14:38:59,3.4476,535.3461,2
2019-08-13,15:08:23,0.4524,502.5705,2
2019-08-13,15:38:30,0.468,509.1693,2
2019-08-13,16:11:37,0.4836,696.0264,2
2019-08-13,16:38:49,0.468,527.8113,2
2019-08-13,17:10:26,0.4368,624.8903,2
2019-08-13,17:37:34,0.4836,453.4616,2
2019-08-13,18:07:29,0.468,448.2044,2
2019-08-13,18:36:39,0.4524,398.1907,2
2019-08-13,19:06:58,0.4524,417.0823,2
2019-08-13,19:37:31,0.4524,449.858,2
2019-08-13,20:07:21,0.468,439.9052,2
2019-08-13,20:36:38,0.4524,397.2547,2
2019-08-13,21:07:36,0.468,454.8968,2
2019-08-13,21:36:32,0.4368,391.2955,2
2019-08-13,22:07:37,0.4836,455.5988,2
2019-08-13,22:37:07,1.4352,425.3191,2
2019-08-13,23:08:18,3.4476,493.9593,2
2019-08-13,23:36:35,0.4524,393.6823,2
2019-08-14,00:06:57,0.5148,416.0059,3
2019-08-14,00:36:33,0.4368,392.4655,3
2019-08-14,01:06:34,0.4524,393.0739,3
2019-08-14,01:36:39,0.4212,397.8787,3
2019-08-14,02:07:31,0.4368,450.17,3
2019-08-14,02:36:20,0.4212,379.3771,3
2019-08-14,03:06:28,0.4212,387.3955,3
2019-08-14,03:36:30,0.4368,389.1583,3
2019-08-14,04:06:55,0.4212,413.6191,3
2019-08-14,04:36:27,0.6864,383.6827,3
2019-08-14,05:06:50,0.4368,409.5475,3
2019-08-14,05:36:32,0.4524,390.9211,3
2019-08-14,06:06:52,0.468,411.1231,3
2019-08-14,06:36:33,0.546,392.4031,3
2019-08-14,07:06:49,0.468,407.9095,3
2019-08-14,07:36:50,0.468,408.9235,3
2019-08-14,08:07:15,0.468,433.7498,3
2019-08-14,08:37:59,0.4524,477.9848,3
2019-08-14,09:09:04,0.4836,543.0994,3
2019-08-14,09:38:05,3.51,480.9176,3
2019-08-14,10:09:33,0.468,572.053,3
2019-08-14,10:37:38,0.4368,457.034,3
2019-08-14,11:14:10,0.4524,849.0783,3
2019-08-14,11:37:24,0.4368,443.3684,3
2019-08-14,12:07:47,0.4524,466.3628,3
2019-08-14,12:36:48,0.4524,407.4415,3
2019-08-14,13:09:40,0.78,578.3242,3
2019-08-14,13:37:50,0.468,469.0304,3
2019-08-14,14:10:37,0.468,636.3563,3
2019-08-14,14:39:21,0.546,559.6666,3
2019-08-14,15:10:23,0.4524,622.3163,3
2019-08-14,15:39:00,0.4992,539.4333,3
2019-08-14,16:08:04,0.5772,482.8676,3
2019-08-14,16:38:59,0.4368,537.9981,3
2019-08-14,17:09:36,1.716,574.2838,3
2019-08-14,17:38:32,0.4836,510.6357,3
2019-08-14,18:07:52,0.468,470.762,3
2019-08-14,18:36:59,0.4524,418.5331,3
2019-08-14,19:07:02,0.4524,421.5751,3
2019-08-14,19:36:38,0.4524,397.0519,3
2019-08-14,20:07:26,0.4368,445.4276,3
2019-08-14,21:07:37,0.5148,455.9576,3
2019-08-14,21:36:45,3.2448,401.0611,3
2019-08-14,22:08:25,0.4836,503.7405,3
2019-08-14,22:37:27,0.4212,446.5976,3
2019-08-14,23:07:21,0.4836,439.7804,3
2019-08-14,23:37:06,0.4524,424.8355,3
2019-08-15,00:07:00,0.4524,419.4847,4
2019-08-15,00:36:37,2.418,394.7119,4
2019-08-15,01:06:57,0.4836,416.1463,4
2019-08-15,01:36:33,0.546,392.0599,4
2019-08-15,02:06:56,1.4352,414.1495,4
2019-08-15,02:36:57,3.4944,413.1823,4
2019-08-15,03:06:51,0.4524,409.7035,4
2019-08-15,03:36:17,0.468,376.6003,4
2019-08-15,04:06:52,0.4368,410.8891,4
2019-08-15,04:36:29,0.7644,384.8215,4
2019-08-15,05:06:45,0.4836,403.5727,4
2019-08-15,05:36:11,0.4368,370.0014,4
2019-08-15,06:06:53,0.4212,412.5583,4
2019-08-15,06:37:03,0.4368,421.6219,4
2019-08-15,07:06:56,0.4212,414.9607,4
2019-08-15,07:36:44,0.4368,402.6679,4
2019-08-15,08:08:49,0.468,528.2013,4
2019-08-15,08:38:16,3.2604,491.8377,4
2019-08-15,09:07:54,0.4368,472.9772,4
2019-08-15,09:37:25,0.4992,443.8208,4
2019-08-15,10:09:05,0.4524,544.3162,4
2019-08-15,10:37:24,0.4836,442.7912,4
2019-08-15,11:08:13,0.4524,492.0561,4
2019-08-15,11:37:17,0.4524,436.13,4
2019-08-15,12:09:34,0.468,572.911,4
2019-08-15,12:37:08,0.4836,427.316,4
2019-08-15,13:07:11,0.4368,430.046,4
2019-08-15,13:37:02,0.4524,421.1695,4
2019-08-15,14:11:23,0.4836,682.47,4
2019-08-15,14:37:23,0.468,442.37,4
2019-08-15,15:10:43,3.4632,639.2891,4
2019-08-15,15:37:17,0.4836,435.74,4
2019-08-15,16:08:00,0.624,478.64,4
2019-08-15,16:38:31,0.4836,509.6841,4
2019-08-15,17:10:16,0.4524,614.9063,4
2019-08-15,17:37:39,0.4992,458.126,4
2019-08-15,18:07:30,0.4836,448.8284,4
2019-08-15,18:36:46,0.4836,404.8051,4
2019-08-15,19:07:05,0.4836,423.9463,4
2019-08-15,19:37:03,0.4368,421.6843,4
2019-08-15,20:07:35,0.468,453.8048,4
2019-08-15,20:36:34,0.468,392.5903,4
2019-08-15,21:06:37,0.468,396.5059,4
2019-08-15,21:36:38,0.4524,396.9427,4
2019-08-15,22:07:36,0.4368,454.9748,4
2019-08-15,22:37:28,0.468,447.4088,4
2019-08-15,23:06:59,0.4524,418.5799,4
2019-08-15,23:36:37,0.468,396.0067,4
2019-08-16,00:07:56,1.4664,473.9756,5
