date,time,connection,download,dayOfWeek
2019-08-17,00:01:04,0.4524,63.4921,6
2019-08-17,00:30:48,0.4368,46.6909,6
2019-08-17,01:00:55,0.4836,53.6017,6
2019-08-17,01:30:46,0.4524,45.5365,6
2019-08-17,02:01:15,1.4508,73.5073,6
2019-08-17,02:30:50,0.4524,49.4365,6
2019-08-17,03:01:04,0.4368,63.2113,6
2019-08-17,03:30:51,0.4368,49.7485,6
2019-08-17,04:00:54,0.4524,53.3209,6
2019-08-17,04:30:48,0.4212,47.2213,6
2019-08-17,05:00:53,0.6552,50.0293,6
2019-08-17,05:31:05,0.468,63.9289,6
2019-08-17,06:00:57,0.4524,55.8013,6
2019-08-17,06:30:49,0.468,47.7829,6
2019-08-17,07:00:49,0.4524,47.6581,6
2019-08-17,07:31:02,0.468,61.1521,6
2019-08-17,08:00:56,0.468,54.7561,6
2019-08-17,08:30:48,0.4524,47.4085,6
2019-08-17,09:01:53,3.4476,108.9038,6
2019-08-17,09:31:32,0.4368,91.073,6
2019-08-17,10:01:12,0.4524,71.1361,6
2019-08-17,10:31:04,0.468,63.4453,6
2019-08-17,11:00:55,0.4368,54.1633,6
2019-08-17,11:31:01,0.4524,60.0913,6
2019-08-17,12:01:15,0.4524,73.6633,6
2019-08-17,12:30:53,0.6552,52.0729,6
2019-08-17,13:01:14,0.4524,73.5853,6
2019-08-17,13:31:04,0.4836,62.9773,6
2019-08-17,14:01:43,0.4992,102.227,6
2019-08-17,14:30:49,0.4524,47.7517,6
2019-08-17,15:00:53,0.4524,52.2601,6
2019-08-17,15:30:49,0.468,48.1885,6
2019-08-17,16:00:46,0.4524,45.1621,6
2019-08-17,16:31:08,0.5148,67.1737,6
2019-08-17,17:01:03,0.4524,62.5093,6
2019-08-17,17:31:36,0.468,94.9106,6
2019-08-17,18:01:37,0.468,95.9558,6
2019-08-17,18:31:39,0.4992,98.4518,6
2019-08-17,19:01:04,0.468,63.5077,6
2019-08-17,19:30:57,0.4524,55.6609,6
2019-08-17,20:01:38,0.468,96.6422,6
2019-08-17,20:30:55,0.4368,54.6001,6
2019-08-17,21:01:03,0.4524,61.6201,6
2019-08-17,21:31:39,0.468,98.2334,6
2019-08-17,22:00:51,0.468,49.9357,6
2019-08-17,22:30:52,0.4368,51.0745,6
2019-08-17,23:00:51,0.468,49.6861,6
2019-08-17,23:31:07,0.4368,65.6917,6
2019-08-18,00:01:00,0.4524,59.2645,7
2019-08-18,00:30:53,0.4368,52.3693,7
2019-08-18,01:01:40,0.4368,99.16,7
2019-08-18,01:30:54,0.468,53.3053,7
2019-08-18,02:01:03,0.4524,62.4625,7
2019-08-18,02:31:01,0.4836,59.9509,7
2019-08-18,03:00:48,0.4368,47.2837,7
2019-08-18,03:30:50,0.4836,48.9841,7
2019-08-18,04:00:48,0.4212,46.7689,7
2019-08-18,04:31:06,0.5616,65.4421,7
2019-08-18,05:00:48,0.7956,45.0997,7
2019-08-18,05:30:45,0.4368,44.6161,7
2019-08-18,06:00:46,0.4524,45.3805,7
2019-08-18,06:30:52,0.4524,51.5113,7
2019-08-18,07:01:49,0.4368,108.077,7
2019-08-18,07:30:53,0.4836,51.6829,7
2019-08-18,08:00:48,0.4524,47.4709,7
2019-08-18,08:31:39,1.4508,97.5002,7
2019-08-18,09:01:16,0.4524,75.5665,7
2019-08-18,09:31:08,0.4524,66.7525,7
2019-08-18,10:01:06,1.4508,63.9913,7
2019-08-18,10:31:53,1.4508,110.807,7
2019-08-18,11:00:52,0.4212,51.9013,7
2019-08-18,11:30:47,0.4524,45.6145,7
2019-08-18,12:01:01,0.4524,59.7949,7
2019-08-18,12:30:51,0.4992,49.5613,7
