date,time,connection,upload,dayOfWeek
2019-08-17,00:06:57,0.4524,415.6939,6
2019-08-17,00:36:28,0.4368,386.7091,6
2019-08-17,01:06:32,0.4836,391.0303,6
2019-08-17,01:36:28,0.4524,387.0991,6
2019-08-17,02:07:00,1.4508,418.1431,6
2019-08-17,02:36:17,0.4524,376.1167,6
2019-08-17,03:06:53,0.4368,411.8407,6
2019-08-17,03:36:27,0.4368,386.2411,6
2019-08-17,04:06:52,0.4524,410.7955,6
2019-08-17,04:36:24,0.4212,383.3083,6
2019-08-17,05:06:50,0.6552,407.1451,6
2019-08-17,05:37:46,0.468,465.2552,6
2019-08-17,06:06:51,0.4524,410.5459,6
2019-08-17,06:36:30,0.468,388.9087,6
2019-08-17,07:06:22,0.4524,380.8747,6
2019-08-17,07:36:54,0.468,413.4475,6
2019-08-17,08:06:49,0.468,407.9719,6
2019-08-17,08:36:37,0.4524,396.4279,6
2019-08-17,09:07:53,3.4476,468.9836,6
2019-08-17,09:37:29,0.4368,448.2356,6
2019-08-17,10:07:05,0.4524,424.3675,6
2019-08-17,10:36:45,0.468,404.2747,6
2019-08-17,11:06:55,0.4368,413.9467,6
2019-08-17,11:36:51,0.4524,410.3743,6
2019-08-17,12:07:08,0.4524,427.5812,6
2019-08-17,12:36:36,0.6552,394.5871,6
2019-08-17,13:07:13,0.4524,432.2612,6
2019-08-17,13:36:56,0.4836,414.6331,6
2019-08-17,14:07:35,0.4992,454.304,6
2019-08-17,14:36:26,0.4524,385.4143,6
2019-08-17,15:06:48,0.4524,406.9267,6
2019-08-17,15:36:23,0.468,381.7327,6
2019-08-17,16:06:45,0.4524,404.0719,6
2019-08-17,16:36:57,0.5148,416.3335,6
2019-08-17,17:07:00,0.4524,418.6267,6
2019-08-17,17:37:13,0.468,431.9648,6
2019-08-17,18:07:35,0.468,454.3196,6
2019-08-17,18:37:25,0.4992,444.242,6
2019-08-17,19:07:03,0.468,422.3863,6
2019-08-17,19:36:37,0.4524,396.2251,6
2019-08-17,20:07:48,0.468,467.1428,6
2019-08-17,20:36:38,0.4368,397.2235,6
2019-08-17,21:07:03,0.4524,421.8559,6
2019-08-17,21:37:26,0.468,445.3652,6
2019-08-17,22:06:50,0.468,409.2511,6
2019-08-17,22:36:27,0.4368,386.4907,6
2019-08-17,23:06:54,0.468,413.4163,6
2019-08-17,23:36:45,0.4368,404.0095,6
2019-08-18,00:06:53,0.4524,412.0279,7
2019-08-18,00:36:34,0.4368,393.0271,7
2019-08-18,01:07:39,0.4368,458.0542,7
2019-08-18,01:36:28,0.468,387.1927,7
2019-08-18,02:07:05,0.4524,424.5235,7
2019-08-18,02:36:33,0.4836,392.1379,7
2019-08-18,03:06:46,0.4368,404.7583,7
2019-08-18,03:36:24,0.4836,383.4331,7
2019-08-18,04:06:36,0.4212,395.4763,7
2019-08-18,04:36:24,0.5616,382.6843,7
2019-08-18,05:06:42,0.7956,399.1423,7
2019-08-18,05:36:23,0.4368,382.0291,7
2019-08-18,06:06:40,0.4524,398.8303,7
2019-08-18,06:36:31,0.4524,389.6575,7
2019-08-18,07:07:47,0.4368,466.5032,7
2019-08-18,07:36:26,0.4836,384.6187,7
2019-08-18,08:06:52,0.4524,410.8111,7
2019-08-18,08:37:22,1.4508,439.9832,7
2019-08-18,09:07:28,0.4524,447.0344,7
2019-08-18,09:37:01,0.4524,420.4519,7
2019-08-18,10:07:04,1.4508,422.0275,7
2019-08-18,10:37:37,1.4508,454.7252,7
2019-08-18,11:06:51,0.4212,410.0155,7
2019-08-18,11:36:27,0.4524,386.2099,7
2019-08-18,12:06:49,0.4524,408.1279,7
2019-08-18,12:36:31,0.4992,390.0163,7
2019-08-18,13:07:26,1.4508,444.5696,7
2019-08-18,13:36:51,0.468,409.8595,7
2019-08-18,14:08:07,0.4524,485.8785,7
2019-08-18,14:36:32,0.4524,390.7027,7
2019-08-18,15:06:53,0.4524,411.8251,7
2019-08-18,15:36:28,0.5148,386.7091,7
2019-08-18,16:06:53,0.468,411.9187,7
2019-08-18,16:36:14,0.4368,372.9967,7
2019-08-18,17:07:04,0.4524,423.4471,7
2019-08-18,17:36:32,0.4524,391.0303,7
2019-08-18,18:06:53,0.5148,411.7159,7
2019-08-18,18:36:48,0.4524,407.4883,7
2019-08-18,19:06:28,0.4368,387.0835,7
2019-08-18,19:36:41,0.4524,399.8287,7
2019-08-18,20:06:50,0.4212,408.7519,7
2019-08-18,20:36:43,0.4368,402.2155,7
2019-08-18,21:07:28,0.468,447.5492,7
2019-08-18,21:37:39,0.468,458.0948,7
2019-08-18,22:07:46,0.468,465.458,7
2019-08-18,22:38:48,0.468,527.1093,7
2019-08-18,23:09:20,1.4664,557.5918,7
2019-08-18,23:38:35,0.4836,514.0521,7
2019-08-24,08:37:08,0.546,425.7871,6
2019-08-24,09:07:06,0.4524,424.8043,6
2019-08-24,09:37:23,0.468,441.8084,6
2019-08-24,10:06:56,0.4368,414.9763,6
2019-08-24,10:36:28,0.4524,386.4907,6
2019-08-24,11:07:01,0.4524,420.0307,6
2019-08-24,11:36:51,0.468,410.2183,6
2019-08-24,12:06:40,0.5148,399.2671,6
2019-08-24,12:36:24,0.6708,382.6063,6
2019-08-24,13:08:04,0.468,483.2732,6
2019-08-24,13:36:36,0.4992,395.1955,6
2019-08-24,14:07:02,0.4836,420.4987,6
2019-08-24,14:36:42,0.468,400.7023,6
2019-08-24,15:06:40,0.468,399.4543,6
2019-08-24,15:36:23,0.4524,381.4051,6
2019-08-24,16:07:05,0.4836,424.3987,6
2019-08-24,16:36:50,0.4836,409.0015,6
2019-08-24,17:07:00,0.4992,418.6891,6
2019-08-24,17:36:35,0.4836,394.2595,6
2019-08-24,18:07:13,0.468,431.5904,6
2019-08-24,18:36:45,0.468,404.4307,6
2019-08-24,19:06:47,0.4836,406.5523,6
2019-08-24,19:36:44,0.4836,402.7459,6
2019-08-24,20:08:47,0.4836,526.2201,6
2019-08-24,20:36:58,0.4524,417.4411,6
2019-08-24,21:06:54,0.468,413.0263,6
2019-08-24,21:37:07,0.4524,426.1459,6
2019-08-24,22:08:05,3.4788,481.1516,6
2019-08-24,22:38:07,1.4664,484.7397,6
2019-08-24,23:08:13,0.4836,491.7129,6
2019-08-24,23:37:16,0.5304,434.6792,6
2019-08-25,00:07:30,0.5304,448.5476,7
2019-08-25,00:36:50,0.4836,408.9703,7
2019-08-25,01:07:17,0.4524,435.8492,7
2019-08-25,01:38:24,0.4836,503.2725,7
2019-08-25,02:06:46,0.4524,405.3199,7
2019-08-25,02:36:14,0.4992,372.9343,7
2019-08-25,03:06:42,0.4524,401.2639,7
2019-08-25,03:36:21,0.4524,379.9699,7
2019-08-25,04:07:04,0.468,423.4003,7
2019-08-25,04:36:27,0.5772,385.5079,7
2019-08-25,05:06:49,0.4524,407.6599,7
2019-08-25,05:36:12,0.858,368.1138,7
2019-08-25,06:06:40,0.4212,399.0643,7
2019-08-25,06:36:20,0.4524,378.6439,7
2019-08-25,07:06:56,0.4524,414.6955,7
2019-08-25,07:36:35,0.4524,394.1035,7
2019-08-25,08:06:46,0.5304,405.3355,7
2019-08-25,08:36:30,0.4836,388.6279,7
2019-08-25,09:06:43,0.468,401.8255,7
2019-08-25,09:37:05,0.468,424.1179,7
2019-08-25,10:06:48,0.468,406.7551,7
2019-08-25,10:37:11,3.4632,427.1132,7
2019-08-25,11:07:32,1.4352,450.2792,7
2019-08-25,11:36:45,0.468,404.1187,7
2019-08-25,12:07:11,0.468,430.4516,7
2019-08-25,12:36:49,0.4836,408.1123,7
2019-08-25,13:06:26,0.4524,385.1647,7
2019-08-25,13:36:28,0.5304,386.6623,7
2019-08-25,14:06:55,0.468,413.8999,7
2019-08-25,14:36:35,0.468,393.6667,7
2019-08-25,15:07:04,0.4524,422.7139,7
2019-08-25,15:36:27,0.4524,386.1007,7
2019-08-25,16:06:38,0.468,397.2391,7
2019-08-25,16:36:12,0.4992,371.0311,7
2019-08-25,17:06:53,0.4524,412.1995,7
2019-08-25,17:36:23,0.5148,382.1851,7
2019-08-25,18:07:12,0.4524,430.7012,7
2019-08-25,18:36:44,0.4524,402.6679,7
2019-08-25,19:07:34,0.4992,453.6176,7
2019-08-25,19:37:07,0.4836,426.2863,7
2019-08-25,20:06:55,0.468,413.8687,7
2019-08-25,20:36:37,0.4368,395.9287,7
2019-08-25,21:08:56,0.468,535.2057,7
2019-08-25,21:38:27,0.4836,505.9401,7
2019-08-25,22:07:01,0.468,420.0463,7
2019-08-25,22:37:44,0.4524,463.1024,7
