date,time,connection,download,dayOfWeek
2019-08-13,19:31:36,0.4524,94.6454,2
2019-08-13,20:01:26,0.468,84.9889,2
2019-08-13,20:31:01,0.4524,59.6857,2
2019-08-13,21:01:42,0.468,100.7606,2
2019-08-13,21:30:51,0.4368,49.7953,2
2019-08-13,22:01:33,0.4836,92.5238,2
2019-08-13,22:31:19,1.4352,77.2513,2
2019-08-13,23:01:55,3.4476,111.2282,2
2019-08-13,23:30:55,0.4524,54.2881,2
2019-08-14,19:30:50,0.4524,49.1869,3
2019-08-14,20:01:33,0.4368,91.9154,3
2019-08-14,21:01:36,0.5148,95.1446,3
2019-08-14,21:31:11,3.2448,67.5949,3
2019-08-14,22:02:28,0.4836,147.1551,3
2019-08-14,22:31:35,0.4212,94.2242,3
2019-08-14,23:01:23,0.4836,81.5881,3
2019-08-14,23:31:23,0.4524,81.9625,3
2019-08-15,19:31:12,0.4368,70.8085,4
2019-08-15,20:01:42,0.468,101.057,4
2019-08-15,20:30:48,0.468,47.4241,4
2019-08-15,21:00:50,0.468,49.2649,4
2019-08-15,21:30:52,0.4524,51.4801,4
2019-08-15,22:01:37,0.4368,96.3614,4
2019-08-15,22:31:35,0.468,94.4738,4
2019-08-15,23:01:04,0.4524,62.6341,4
2019-08-15,23:30:52,0.468,50.9341,4
2019-08-16,19:30:46,0.468,44.6629,5
2019-08-16,20:00:51,0.4836,50.2789,5
2019-08-16,20:30:49,0.4524,47.6425,5
2019-08-16,21:00:59,0.4368,57.8137,5
2019-08-16,21:30:55,0.4524,54.5689,5
2019-08-16,22:02:48,4.446,163.0203,5
2019-08-16,22:31:48,0.4524,107.4842,5
2019-08-16,23:01:49,0.4368,108.5762,5
2019-08-16,23:31:11,0.468,69.9349,5
2019-08-19,19:30:59,0.5928,57.4237,1
2019-08-19,20:00:58,0.624,57.3301,1
2019-08-19,20:30:48,0.6864,47.2369,1
2019-08-19,21:01:30,0.6708,88.421,1
2019-08-19,21:31:12,1.1544,70.1845,1
2019-08-19,22:00:59,0.5616,57.6577,1
2019-08-19,22:30:55,0.5616,53.8045,1
2019-08-19,23:00:54,0.6084,52.5877,1
2019-08-19,23:30:48,0.8892,46.8781,1
2019-08-20,19:30:55,0.468,54.3661,2
2019-08-20,20:01:00,0.5148,59.2957,2
2019-08-20,20:30:49,0.468,48.0949,2
2019-08-20,21:01:18,10.452,66.6901,2
2019-08-20,21:30:55,0.4836,53.9605,2
2019-08-20,22:01:06,0.4992,65.0365,2
2019-08-20,22:31:22,0.4524,81.3229,2
2019-08-20,23:01:30,0.468,89.1698,2
2019-08-20,23:31:08,0.4524,67.3453,2
2019-08-26,19:31:04,0.4836,62.8525,1
2019-08-26,20:00:57,0.4524,56.4409,1
2019-08-26,20:30:59,0.5304,58.2193,1
2019-08-26,21:02:15,0.468,133.6454,1
2019-08-26,21:31:24,0.4836,82.7113,1
2019-08-26,22:00:51,0.468,50.5753,1
2019-08-26,22:31:16,0.5772,75.0049,1
2019-08-26,23:00:58,0.468,57.0181,1
2019-08-26,23:31:26,0.4836,84.6145,1
2019-08-30,19:30:51,0.4524,50.0293,5
2019-08-30,20:00:49,0.4836,48.2509,5
2019-08-30,20:30:59,0.468,58.2193,5
2019-08-30,21:02:02,3.4788,117.4682,5
2019-08-30,21:31:34,0.5304,92.6954,5
2019-08-30,22:02:02,0.4836,120.7754,5
2019-08-30,22:31:06,0.468,65.2393,5
2019-08-30,23:01:12,0.4992,71.3389,5
2019-08-30,23:32:06,0.5304,124.4882,5
2019-09-02,19:30:58,0.4524,56.6905,1
2019-09-02,20:01:01,0.4368,60.4969,1
2019-09-02,20:31:00,0.4836,59.2489,1
2019-09-02,21:00:52,0.4836,50.8093,1
2019-09-02,21:31:15,0.4992,74.0377,1
2019-09-02,22:02:04,0.4524,123.287,1
2019-09-02,22:31:09,0.4836,67.9381,1
2019-09-02,23:01:16,0.4992,75.2857,1
2019-09-02,23:31:06,0.4836,64.9741,1
2019-09-03,19:30:57,0.5304,55.9729,2
2019-09-03,20:01:14,21.6684,51.9013,2
2019-09-03,20:30:49,0.468,47.9077,2
2019-09-03,21:00:56,0.4368,55.1305,2
2019-09-03,21:30:58,0.4992,57.4861,2
2019-09-03,22:01:12,8.814,62.8837,2
2019-09-03,22:31:20,5.4756,74.2093,2
2019-09-03,23:00:48,0.4368,47.5333,2
2019-09-03,23:31:07,0.5148,65.5357,2
2019-09-04,19:30:59,0.4524,57.7669,3
2019-09-04,20:00:51,0.4992,49.9201,3
2019-09-04,20:30:48,0.4368,47.1901,3
2019-09-04,21:00:50,0.468,49.2649,3
2019-09-04,21:31:26,0.5304,85.0357,3
2019-09-04,22:02:03,0.468,122.195,3
2019-09-04,22:32:38,0.4524,157.3419,3
2019-09-04,23:01:31,0.4836,89.903,3
2019-09-04,23:32:45,0.468,164.0499,3
2019-08-14,00:01:08,0.5148,66.7369,3
2019-08-14,00:30:52,0.4368,50.6689,3
2019-08-14,01:00:46,0.4524,45.3961,3
2019-08-14,01:31:03,0.4212,61.8541,3
2019-08-14,02:01:22,0.4368,81.0733,3
