date,time,connection,upload,dayOfWeek
2019-08-13,19:37:31,0.4524,449.858,2
2019-08-13,20:07:21,0.468,439.9052,2
2019-08-13,20:36:38,0.4524,397.2547,2
2019-08-13,21:07:36,0.468,454.8968,2
2019-08-13,21:36:32,0.4368,391.2955,2
2019-08-13,22:07:37,0.4836,455.5988,2
2019-08-13,22:37:07,1.4352,425.3191,2
2019-08-13,23:08:18,3.4476,493.9593,2
2019-08-13,23:36:35,0.4524,393.6823,2
2019-08-14,19:36:38,0.4524,397.0519,3
2019-08-14,20:07:26,0.4368,445.4276,3
2019-08-14,21:07:37,0.5148,455.9576,3
2019-08-14,21:36:45,3.2448,401.0611,3
2019-08-14,22:08:25,0.4836,503.7405,3
2019-08-14,22:37:27,0.4212,446.5976,3
2019-08-14,23:07:21,0.4836,439.7804,3
2019-08-14,23:37:06,0.4524,424.8355,3
2019-08-15,19:37:03,0.4368,421.6843,4
2019-08-15,20:07:35,0.468,453.8048,4
2019-08-15,20:36:34,0.468,392.5903,4
2019-08-15,21:06:37,0.468,396.5059,4
2019-08-15,21:36:38,0.4524,396.9427,4
2019-08-15,22:07:36,0.4368,454.9748,4
2019-08-15,22:37:28,0.468,447.4088,4
2019-08-15,23:06:59,0.4524,418.5799,4
2019-08-15,23:36:37,0.468,396.0067,4
2019-08-16,19:36:27,0.468,385.8355,5
2019-08-16,20:06:54,0.4836,412.6675,5
2019-08-16,20:36:25,0.4524,384.3379,5
2019-08-16,21:06:49,0.4368,407.6599,5
2019-08-16,21:36:33,0.4524,392.4811,5
2019-08-16,22:08:42,4.446,517.2813,5
2019-08-16,22:37:49,0.4524,468.2816,5
2019-08-16,23:07:41,0.4368,459.842,5
2019-08-16,23:37:06,0.468,424.7575,5
2019-08-19,19:36:32,0.5928,391.0459,1
2019-08-19,20:06:55,0.624,413.5567,1
2019-08-19,20:36:42,0.6864,401.2483,1
2019-08-19,21:07:28,0.6708,447.2996,1
2019-08-19,21:36:49,1.1544,407.7691,1
2019-08-19,22:06:58,0.5616,416.8327,1
2019-08-19,22:36:39,0.5616,397.8163,1
2019-08-19,23:06:44,0.6084,402.6367,1
2019-08-19,23:36:06,0.8892,364.557,1
2019-08-20,19:36:35,0.468,393.8695,2
2019-08-20,20:07:14,0.5148,433.6028,2
2019-08-20,20:36:29,0.468,387.7855,2
2019-08-20,21:07:34,10.452,442.6664,2
2019-08-20,21:36:30,0.4836,388.9087,2
2019-08-20,22:07:02,0.4992,421.2787,2
2019-08-20,22:37:08,0.4524,427.5344,2
2019-08-20,23:07:24,0.468,443.1188,2
2019-08-20,23:36:49,0.4524,407.9251,2
2019-08-26,19:36:50,0.4836,408.6583,1
2019-08-26,20:06:50,0.4524,409.2823,1
2019-08-26,20:36:42,0.5304,400.8427,1
2019-08-26,21:08:12,0.468,490.6521,1
2019-08-26,21:37:07,0.4836,425.6467,1
2019-08-26,22:06:46,0.468,404.7115,1
2019-08-26,22:36:55,0.5772,414.2275,1
2019-08-26,23:06:52,0.468,410.8111,1
2019-08-26,23:37:09,0.4836,427.9868,1
2019-08-30,19:36:28,0.4524,387.2551,5
2019-08-30,20:06:37,0.4836,396.3811,5
2019-08-30,20:36:43,0.468,401.7943,5
2019-08-30,21:08:01,3.4788,476.7056,5
2019-08-30,21:37:15,0.5304,433.7276,5
2019-08-30,22:07:57,0.4836,476.4716,5
2019-08-30,22:36:46,0.468,404.6647,5
2019-08-30,23:07:09,0.4992,428.3456,5
2019-08-30,23:38:04,0.5304,482.8988,5
2019-09-02,19:22:52,0.4836,1370.6964,1
2019-09-02,19:49:34,0.4524,1173.2781,1
2019-09-02,20:07:02,0.4368,421.1695,1
