date,time,connection,download,dayOfWeek
2019-08-13,13:30:55,0.4524,54.0073,2
2019-08-13,14:01:46,0.468,104.8946,2
2019-08-13,14:32:51,3.4476,167.4039,2
2019-08-13,15:01:51,0.4524,110.6354,2
2019-08-13,15:32:14,0.468,132.803,2
2019-08-13,16:03:55,0.4836,233.8912,2
2019-08-13,16:30:54,0.468,53.2117,2
2019-08-13,17:01:44,0.4368,103.3658,2
2019-08-13,17:31:21,0.4836,79.7005,2
2019-08-13,18:01:12,0.468,71.3701,2
2019-08-13,18:30:55,0.4524,54.2413,2
2019-08-13,19:00:57,0.4524,56.1601,2
2019-08-14,13:31:12,0.468,71.0269,3
2019-08-14,14:03:36,0.468,214.75,3
2019-08-14,14:32:23,0.546,141.5702,3
2019-08-14,15:02:13,0.4524,132.023,3
2019-08-14,15:31:26,0.4992,84.9421,3
2019-08-14,16:00:53,0.5772,51.8701,3
2019-08-14,16:31:26,0.4368,85.3789,3
2019-08-14,17:02:14,1.716,132.0698,3
2019-08-14,17:31:59,0.4836,118.1078,3
2019-08-14,18:01:51,0.468,110.2142,3
2019-08-14,18:31:18,0.4524,76.7521,3
2019-08-14,19:00:57,0.4524,56.0041,3
2019-08-15,13:30:54,0.4524,53.3053,4
2019-08-15,14:03:19,0.4836,197.6211,4
2019-08-15,14:31:12,0.468,71.4637,4
2019-08-15,15:03:23,3.4632,199.0095,4
2019-08-15,15:31:01,0.4836,60.1069,4
2019-08-15,16:01:18,0.624,76.6897,4
2019-08-15,16:31:33,0.4836,91.7906,4
2019-08-15,17:02:37,0.4524,156.2967,4
2019-08-15,17:31:06,0.4992,65.1769,4
2019-08-15,18:01:20,0.4836,79.2637,4
2019-08-15,18:30:51,0.4836,50.1385,4
2019-08-15,19:01:11,0.4836,69.6541,4
2019-08-16,13:31:09,0.468,67.8445,5
2019-08-16,14:01:39,0.5772,97.625,5
2019-08-16,14:31:15,0.5772,73.9753,5
2019-08-16,15:02:44,0.468,163.4883,5
2019-08-16,15:31:21,0.4836,79.7941,5
2019-08-16,16:02:29,0.4368,147.8571,5
2019-08-16,16:32:03,0.4836,122.3822,5
2019-08-16,17:02:09,0.468,128.4974,5
2019-08-16,17:30:53,0.4524,52.4941,5
2019-08-16,18:00:54,3.276,50.5129,5
2019-08-16,18:31:04,0.468,63.3517,5
2019-08-16,19:00:52,0.4524,51.2305,5
2019-08-19,13:31:44,1.4664,101.8682,1
2019-08-19,14:02:38,0.4992,157.5759,1
2019-08-19,14:31:12,0.5148,71.4637,1
2019-08-19,15:02:43,0.4524,161.8347,1
2019-08-19,15:30:56,0.4836,54.5845,1
