date,time,connection,upload,dayOfWeek
2019-08-13,13:37:23,0.4524,441.7928,2
2019-08-13,14:08:18,0.468,496.7673,2
2019-08-13,14:38:59,3.4476,535.3461,2
2019-08-13,15:08:23,0.4524,502.5705,2
2019-08-13,15:38:30,0.468,509.1693,2
2019-08-13,16:11:37,0.4836,696.0264,2
2019-08-13,16:38:49,0.468,527.8113,2
2019-08-13,17:10:26,0.4368,624.8903,2
2019-08-13,17:37:34,0.4836,453.4616,2
2019-08-13,18:07:29,0.468,448.2044,2
2019-08-13,18:36:39,0.4524,398.1907,2
2019-08-13,19:06:58,0.4524,417.0823,2
2019-08-14,13:37:50,0.468,469.0304,3
2019-08-14,14:10:37,0.468,636.3563,3
2019-08-14,14:39:21,0.546,559.6666,3
2019-08-14,15:10:23,0.4524,622.3163,3
2019-08-14,15:39:00,0.4992,539.4333,3
2019-08-14,16:08:04,0.5772,482.8676,3
2019-08-14,16:38:59,0.4368,537.9981,3
2019-08-14,17:09:36,1.716,574.2838,3
2019-08-14,17:38:32,0.4836,510.6357,3
2019-08-14,18:07:52,0.468,470.762,3
2019-08-14,18:36:59,0.4524,418.5331,3
2019-08-14,19:07:02,0.4524,421.5751,3
2019-08-15,13:37:02,0.4524,421.1695,4
2019-08-15,14:11:23,0.4836,682.47,4
2019-08-15,14:37:23,0.468,442.37,4
2019-08-15,15:10:43,3.4632,639.2891,4
2019-08-15,15:37:17,0.4836,435.74,4
2019-08-15,16:08:00,0.624,478.64,4
2019-08-15,16:38:31,0.4836,509.6841,4
2019-08-15,17:10:16,0.4524,614.9063,4
2019-08-15,17:37:39,0.4992,458.126,4
2019-08-15,18:07:30,0.4836,448.8284,4
2019-08-15,18:36:46,0.4836,404.8051,4
2019-08-15,19:07:05,0.4836,423.9463,4
2019-08-16,13:37:40,0.468,458.672,5
2019-08-16,14:08:36,0.5772,514.7073,5
2019-08-16,14:37:23,0.5772,441.4964,5
2019-08-16,15:09:02,0.468,541.0558,5
2019-08-16,15:39:54,0.4836,593.3314,5
2019-08-16,16:08:48,0.4368,527.5929,5
2019-08-16,16:39:11,0.4836,550.1974,5
2019-08-16,17:09:09,0.468,548.5438,5
2019-08-16,17:37:22,0.4524,440.7476,5
2019-08-16,18:07:04,3.276,419.9371,5
2019-08-16,18:36:50,0.468,408.9547,5
2019-08-16,19:06:51,0.4524,410.6083,5
2019-08-19,13:38:51,1.4664,529.5585,1
2019-08-19,14:10:31,0.4992,630.4127,1
2019-08-19,14:37:22,0.5148,441.1064,1
2019-08-19,15:09:56,0.4524,594.7354,1
2019-08-19,15:37:25,0.4836,443.7428,1
2019-08-19,16:08:47,3.4788,522.9441,1
2019-08-19,16:39:02,0.4992,540.8061,1
2019-08-19,17:08:45,0.4992,524.3949,1
2019-08-19,17:38:04,1.0608,482.1344,1
2019-08-19,18:08:29,0.4524,508.3269,1
