,date,time,connection,upload,dayOfWeek
47,2019-08-14,09:09:04,0.4836,543.0994,3
49,2019-08-14,10:09:33,0.468,572.053,3
51,2019-08-14,11:14:10,0.4524,849.0783,3
55,2019-08-14,13:09:40,0.78,578.3242,3
96,2019-08-15,10:09:05,0.4524,544.3162,4
100,2019-08-15,12:09:34,0.468,572.911,4
144,2019-08-16,10:09:20,0.4836,559.183,5
147,2019-08-16,11:39:10,0.4212,549.3706,5
286,2019-08-19,09:09:46,0.7488,584.7514,1
290,2019-08-19,11:09:19,0.468,557.6386,1
291,2019-08-19,11:41:46,0.6084,704.856,1
292,2019-08-19,12:10:22,0.5148,620.5691,1
334,2019-08-20,09:09:38,0.546,576.811,2
338,2019-08-20,11:10:12,12.558,599.3375,2
477,2019-08-26,09:09:18,0.702,557.2174,1
478,2019-08-26,09:39:19,0.4992,557.9038,1
525,2019-08-27,09:09:57,0.546,595.1878,2
526,2019-08-27,09:39:04,3.276,540.0885,2
666,2019-09-02,09:09:11,0.4524,549.589,1
671,2019-09-02,11:39:06,0.4524,545.3302,1
715,2019-09-03,10:10:02,0.4524,601.0535,2
716,2019-09-03,10:39:09,0.468,548.4658,2
717,2019-09-03,11:09:17,0.4836,556.4998,2
758,2019-09-04,08:39:27,0.468,566.2966,3
759,2019-09-04,09:09:24,0.9984,562.5682,3
762,2019-09-04,10:40:09,0.4836,607.8083,3
763,2019-09-04,11:09:24,0.4836,563.0206,3
764,2019-09-04,11:40:43,1.404,640.8179,3
805,2019-09-05,08:39:56,1.0452,593.9554,4
13,2019-08-13,16:11:37,0.4836,696.0264,2
15,2019-08-13,17:10:26,0.4368,624.8903,2
57,2019-08-14,14:10:37,0.468,636.3563,3
58,2019-08-14,14:39:21,0.546,559.6666,3
59,2019-08-14,15:10:23,0.4524,622.3163,3
60,2019-08-14,15:39:00,0.4992,539.4333,3
62,2019-08-14,16:38:59,0.4368,537.9981,3
63,2019-08-14,17:09:36,1.716,574.2838,3
104,2019-08-15,14:11:23,0.4836,682.47,4
106,2019-08-15,15:10:43,3.4632,639.2891,4
110,2019-08-15,17:10:16,0.4524,614.9063,4
154,2019-08-16,15:09:02,0.468,541.0558,5
155,2019-08-16,15:39:54,0.4836,593.3314,5
157,2019-08-16,16:39:11,0.4836,550.1974,5
158,2019-08-16,17:09:09,0.468,548.5438,5
296,2019-08-19,14:10:31,0.4992,630.4127,1
298,2019-08-19,15:09:56,0.4524,594.7354,1
301,2019-08-19,16:39:02,0.4992,540.8061,1
344,2019-08-20,14:09:56,0.4368,594.985,2
350,2019-08-20,17:09:01,0.4836,540.0573,2
487,2019-08-26,14:10:40,0.4524,639.4139,1
490,2019-08-26,15:40:51,0.5616,649.6163,1
491,2019-08-26,16:09:07,0.4836,546.391,1
494,2019-08-26,17:39:44,0.4836,582.661,1
535,2019-08-27,15:09:16,0.4524,555.1426,2
538,2019-08-27,16:41:35,0.4836,694.3104,2
539,2019-08-27,17:09:20,0.4836,558.6994,2
675,2019-09-02,13:39:02,0.5148,540.7125,1
676,2019-09-02,14:09:40,0.468,579.3382,1
677,2019-09-02,14:40:20,0.468,618.9155,1
680,2019-09-02,16:39:05,3.4788,541.2118,1
722,2019-09-03,14:09:43,3.4632,579.3538,2
725,2019-09-03,15:39:00,0.4992,538.5129,2
726,2019-09-03,16:09:09,0.4836,548.0758,2
769,2019-09-04,14:09:32,0.4992,571.2574,3
