,date,time,connection,download,dayOfWeek
0,2019-08-13,09:31:34,0.536,92.7443,2
1,2019-08-13,10:01:25,0.4524,84.6145,2
2,2019-08-13,10:32:00,0.451,118.7658,2
3,2019-08-13,11:00:58,0.4836,57.3769,2
4,2019-08-13,11:30:58,0.4992,57.3145,2
5,2019-08-13,12:02:21,1.4352,139.6358,2
6,2019-08-13,12:30:59,0.468,58.4845,2
7,2019-08-13,13:00:54,0.4992,52.8841,2
44,2019-08-14,07:30:54,0.468,53.4925,3
45,2019-08-14,08:00:57,0.468,55.6609,3
46,2019-08-14,08:31:30,0.4524,88.8266,3
47,2019-08-14,09:01:53,0.4836,112.4918,3
48,2019-08-14,09:31:25,3.51,80.7769,3
49,2019-08-14,10:01:55,0.468,114.0518,3
50,2019-08-14,10:31:24,0.4368,83.3821,3
51,2019-08-14,11:02:36,0.4524,155.1423,3
52,2019-08-14,11:31:09,0.4368,68.0941,3
53,2019-08-14,12:01:26,0.4524,84.6925,3
54,2019-08-14,12:30:58,0.4524,57.4237,3
55,2019-08-14,13:02:13,0.78,131.4614,3
91,2019-08-15,07:30:54,0.4368,52.6969,4
92,2019-08-15,08:02:05,0.468,124.2698,4
93,2019-08-15,08:31:47,3.2604,103.0382,4
94,2019-08-15,09:01:20,0.4368,79.0453,4
95,2019-08-15,09:31:05,0.4992,63.6325,4
96,2019-08-15,10:01:12,0.4524,70.9957,4
97,2019-08-15,10:31:09,0.4836,68.3593,4
98,2019-08-15,11:01:47,0.4524,106.0334,4
99,2019-08-15,11:30:56,0.4524,55.2709,4
100,2019-08-15,12:01:28,0.468,87.1574,4
101,2019-08-15,12:30:48,0.4836,47.3461,4
102,2019-08-15,13:00:55,0.4368,53.8201,4
139,2019-08-16,07:30:55,0.4368,53.6329,5
140,2019-08-16,08:01:02,0.4212,61.3393,5
141,2019-08-16,08:30:57,0.6864,56.1133,5
142,2019-08-16,09:02:18,0.468,137.171,5
143,2019-08-16,09:31:40,0.468,99.3098,5
144,2019-08-16,10:02:31,0.4836,149.5731,5
145,2019-08-16,10:31:08,6.4584,61.0741,5
146,2019-08-16,11:01:20,0.4524,78.9673,5
