,date,time,connection,upload,dayOfWeek
0,2019-08-13,09:38:47,0.536,526.0871,2
1,2019-08-13,10:08:03,0.4524,482.3996,2
2,2019-08-13,10:38:49,0.451,528.3199,2
3,2019-08-13,11:07:27,0.4836,446.0516,2
4,2019-08-13,11:38:32,0.4992,510.7293,2
5,2019-08-13,12:08:46,1.4352,524.6133,2
6,2019-08-13,12:37:02,0.468,421.3879,2
7,2019-08-13,13:07:21,0.4992,440.0612,2
44,2019-08-14,07:36:50,0.468,408.9235,3
45,2019-08-14,08:07:15,0.468,433.7498,3
46,2019-08-14,08:37:59,0.4524,477.9848,3
47,2019-08-14,09:09:04,0.4836,543.0994,3
48,2019-08-14,09:38:05,3.51,480.9176,3
49,2019-08-14,10:09:33,0.468,572.053,3
50,2019-08-14,10:37:38,0.4368,457.034,3
51,2019-08-14,11:14:10,0.4524,849.0783,3
52,2019-08-14,11:37:24,0.4368,443.3684,3
53,2019-08-14,12:07:47,0.4524,466.3628,3
54,2019-08-14,12:36:48,0.4524,407.4415,3
55,2019-08-14,13:09:40,0.78,578.3242,3
91,2019-08-15,07:36:44,0.4368,402.6679,4
92,2019-08-15,08:08:49,0.468,528.2013,4
93,2019-08-15,08:38:16,3.2604,491.8377,4
94,2019-08-15,09:07:54,0.4368,472.9772,4
95,2019-08-15,09:37:25,0.4992,443.8208,4
96,2019-08-15,10:09:05,0.4524,544.3162,4
97,2019-08-15,10:37:24,0.4836,442.7912,4
98,2019-08-15,11:08:13,0.4524,492.0561,4
99,2019-08-15,11:37:17,0.4524,436.13,4
100,2019-08-15,12:09:34,0.468,572.911,4
101,2019-08-15,12:37:08,0.4836,427.316,4
102,2019-08-15,13:07:11,0.4368,430.046,4
139,2019-08-16,07:36:41,0.4368,400.4371,5
140,2019-08-16,08:07:40,0.4212,458.9528,5
141,2019-08-16,08:38:16,0.6864,494.5365,5
142,2019-08-16,09:08:54,0.468,532.8813,5
143,2019-08-16,09:38:34,0.468,512.8041,5
144,2019-08-16,10:09:20,0.4836,559.183,5
145,2019-08-16,10:37:13,6.4584,425.7247,5
146,2019-08-16,11:07:41,0.4524,459.7328,5
147,2019-08-16,11:39:10,0.4212,549.3706,5
148,2019-08-16,12:07:04,0.4524,423.0259,5
149,2019-08-16,12:37:51,0.468,469.982,5
150,2019-08-16,13:07:59,0.4836,478.3748,5
283,2019-08-19,07:36:44,0.5148,403.4479,1
284,2019-08-19,08:07:42,0.5304,460.9808,1
285,2019-08-19,08:38:16,0.468,494.6301,1
286,2019-08-19,09:09:46,0.7488,584.7514,1
287,2019-08-19,09:38:03,0.468,482.2436,1
288,2019-08-19,10:08:25,1.4664,502.6485,1
289,2019-08-19,10:37:43,0.4836,462.3068,1
290,2019-08-19,11:09:19,0.468,557.6386,1
291,2019-08-19,11:41:46,0.6084,704.856,1
292,2019-08-19,12:10:22,0.5148,620.5691,1
293,2019-08-19,12:37:19,0.546,437.5184,1
294,2019-08-19,13:08:18,1.4976,496.1433,1
331,2019-08-20,07:36:36,1.6692,394.0255,2
332,2019-08-20,08:08:02,0.6084,480.9644,2
333,2019-08-20,08:38:15,0.4992,494.3649,2
334,2019-08-20,09:09:38,0.546,576.811,2
335,2019-08-20,09:38:24,0.468,502.9137,2
336,2019-08-20,10:08:40,0.5148,519.4653,2
337,2019-08-20,10:37:42,1.3884,459.9824,2
338,2019-08-20,11:10:12,12.558,599.3375,2
339,2019-08-20,11:38:23,0.468,501.9777,2
340,2019-08-20,12:08:56,0.5616,534.9873,2
341,2019-08-20,12:37:57,0.4992,476.2532,2
342,2019-08-20,13:07:36,0.4524,455.0996,2
379,2019-08-21,07:36:46,0.4212,405.5539,3
