date,time,connection,download
2019-08-13,09:31:34,0.5360,92.7443
2019-08-13,10:01:25,0.4524,84.6145
2019-08-13,10:32:00,0.4510,118.7658
2019-08-13,11:00:58,0.4836,57.3769
2019-08-13,11:30:58,0.4992,57.3145
2019-08-13,12:02:21,1.4352,139.6358
2019-08-13,12:30:59,0.4680,58.4845
2019-08-13,13:00:54,0.4992,52.8841
2019-08-13,13:30:55,0.4524,54.0073
2019-08-13,14:01:46,0.4680,104.8946
2019-08-13,14:32:51,3.4476,167.4039
2019-08-13,15:01:51,0.4524,110.6354
2019-08-13,15:32:14,0.4680,132.8030
2019-08-13,16:03:55,0.4836,233.8912
2019-08-13,16:30:54,0.4680,53.2117
2019-08-13,17:01:44,0.4368,103.3658
2019-08-13,17:31:21,0.4836,79.7005
2019-08-13,18:01:12,0.4680,71.3701
2019-08-13,18:30:55,0.4524,54.2413
2019-08-13,19:00:57,0.4524,56.1601
2019-08-13,19:31:36,0.4524,94.6454
2019-08-13,20:01:26,0.4680,84.9889
2019-08-13,20:31:01,0.4524,59.6857
2019-08-13,21:01:42,0.4680,100.7606
2019-08-13,21:30:51,0.4368,49.7953
2019-08-13,22:01:33,0.4836,92.5238
2019-08-13,22:31:19,1.4352,77.2513
2019-08-13,23:01:55,3.4476,111.2282
2019-08-13,23:30:55,0.4524,54.2881
2019-08-14,00:01:08,0.5148,66.7369
2019-08-14,00:30:52,0.4368,50.6689
2019-08-14,01:00:46,0.4524,45.3961
2019-08-14,01:31:03,0.4212,61.8541
2019-08-14,02:01:22,0.4368,81.0733
2019-08-14,02:30:45,0.4212,43.6957
2019-08-14,03:00:46,0.4212,45.0061
2019-08-14,03:30:50,0.4368,49.6081
2019-08-14,04:01:08,0.4212,66.8929
2019-08-14,04:30:49,0.6864,45.1777
2019-08-14,05:00:59,0.4368,58.5313
2019-08-14,05:30:47,0.4524,45.8485
2019-08-14,06:00:53,0.4680,52.0573
2019-08-14,06:30:45,0.5460,44.2573
2019-08-14,07:00:48,0.4680,46.8469
2019-08-14,07:30:54,0.4680,53.4925
2019-08-14,08:00:57,0.4680,55.6609
2019-08-14,08:31:30,0.4524,88.8266
2019-08-14,09:01:53,0.4836,112.4918
2019-08-14,09:31:25,3.5100,80.7769
2019-08-14,10:01:55,0.4680,114.0518
2019-08-14,10:31:24,0.4368,83.3821
2019-08-14,11:02:36,0.4524,155.1423
2019-08-14,11:31:09,0.4368,68.0941
2019-08-14,12:01:26,0.4524,84.6925
2019-08-14,12:30:58,0.4524,57.4237
2019-08-14,13:02:13,0.7800,131.4614
2019-08-14,13:31:12,0.4680,71.0269
2019-08-14,14:03:36,0.4680,214.7500
